2025-09-20 13:03:54 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:03:55 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:03:57 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:03:58 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:03:59 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:04:00 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:04:01 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:04:03 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:04:04 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:04:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:04:06 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:07:34 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:07:34 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:07:36 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:36 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:37 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:37 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:38 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:41 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:43 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:47 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:47 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:52 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:07:53 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:08:38 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:08:46 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:08:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:08:51 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:11:41 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:50 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:13:52 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:13:53 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:54 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:55 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:56 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:57 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:58 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:13:59 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:03 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:04 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:04 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:06 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:10 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:11 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:11 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:12 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:14:23 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-22 10:56:45 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-22 10:56:58 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:01:42 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:02:17 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:02:31 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:02:40 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Знахарь
2025-09-22 11:02:40 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 11:04:08 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:04:46 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:04:58 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:08:13 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:09:27 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 11:21:11 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 12:35:39 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Знахарь
2025-09-22 12:35:39 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:02:34 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-22 14:02:51 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:02:53 | handlers | DEBUG | -1003065205593 | 1 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:02:53 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:02:55 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:03:21 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:03:23 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:03:25 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:03:26 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:03:27 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:03:34 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:14:34 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:14:43 | handlers | DEBUG | -1003065205593 | 1 | 💼 Выбрана профессия: Знахарь
2025-09-22 14:14:43 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-22 14:14:45 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-22 14:14:47 | handlers | DEBUG | -1003065205593 | Функция work_command() выполнена
2025-09-22 14:14:55 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
2025-09-22 14:15:02 | handlers | DEBUG | -1003065205593 | Функция hitter_callback() выполнена
